date,litecoin,trend_relative_diff,trend_log_return
2023-11-15,29,0.0,0.0
2023-11-16,29,0.0,0.0
2023-11-17,27,-0.06896551724137931,-0.07145896398214498
2023-11-18,29,0.07407407407407407,0.07145896398214505
2023-11-19,25,-0.13793103448275862,-0.14842000511827333
2023-11-20,27,0.08,0.0769610411361284
2023-11-21,28,0.037037037037037035,0.03636764417087479
2023-11-22,26,-0.07142857142857142,-0.07410797215372185
2023-11-23,25,-0.038461538461538464,-0.03922071315328127
2023-11-24,27,0.08,0.0769610411361284
2023-11-25,25,-0.07407407407407407,-0.07696104113612832
2023-11-26,24,-0.04,-0.040821994520255166
2023-11-27,24,0.0,0.0
2023-11-28,23,-0.041666666666666664,-0.04255961441879589
2023-11-29,22,-0.043478260869565216,-0.04445176257083381
2023-11-30,22,0.0,0.0
2023-12-01,29,0.3181818181818182,0.27625337662815813
2023-12-02,27,-0.06896551724137931,-0.07145896398214498
2023-12-03,27,0.0,0.0
2023-12-04,37,0.37037037037037035,0.31508104663989545
2023-12-05,34,-0.08108108108108109,-0.084557388028063
2023-12-06,37,0.08823529411764706,0.08455738802806297
2023-12-07,33,-0.10810810810810811,-0.11441035117774422
2023-12-08,42,0.2727272727272727,0.24116205681688804
2023-12-09,37,-0.11904761904761904,-0.1267517056391439
2023-12-10,36,-0.02702702702702703,-0.027398974188114388
2023-12-11,34,-0.05555555555555555,-0.05715841383994864
2023-12-12,29,-0.14705882352941177,-0.1590646946296874
2023-12-13,29,0.0,0.0
2023-12-14,29,0.0,0.0
2023-12-15,27,-0.06896551724137931,-0.07145896398214498
2023-12-16,25,-0.07407407407407407,-0.07696104113612832
2023-12-17,25,0.0,0.0
2023-12-18,30,0.2,0.1823215567939546
2023-12-19,26,-0.13333333333333333,-0.1431008436406733
2023-12-20,31,0.19230769230769232,0.1758906664636642
2023-12-21,33,0.06451612903225806,0.06252035698133393
2023-12-22,32,-0.030303030303030304,-0.03077165866675366
2023-12-23,32,0.0,0.0
2023-12-24,32,0.0,0.0
2023-12-25,35,0.09375,0.08961215868968714
2023-12-26,31,-0.11428571428571428,-0.12136085700426748
2023-12-27,36,0.16129032258064516,0.14953173397096384
2023-12-28,32,-0.1111111111111111,-0.11778303565638351
2023-12-29,34,0.0625,0.06062462181643484
2023-12-30,30,-0.11764705882352941,-0.12516314295400605
2023-12-31,28,-0.06666666666666667,-0.06899287148695143
2024-01-01,35,0.06060606060606061,0.058840500022933395
2024-01-02,43,0.22857142857142856,0.20585205420414882
2024-01-03,47,0.09302325581395349,0.08894748601649612
2024-01-04,42,-0.10638297872340426,-0.11247798342669033
2024-01-05,37,-0.11904761904761904,-0.1267517056391439
2024-01-06,35,-0.05405405405405406,-0.055569851154810765
2024-01-07,35,0.0,0.0
2024-01-08,38,0.08571428571428572,0.08223809823697201
2024-01-09,38,0.0,0.0
2024-01-10,42,0.10526315789473684,0.10008345855698263
2024-01-11,52,0.23809523809523808,0.2135741002980591
2024-01-12,50,-0.038461538461538464,-0.03922071315328127
2024-01-13,41,-0.18,-0.19845093872383832
2024-01-14,33,-0.1951219512195122,-0.2170645052378275
2024-01-15,37,0.12121212121212122,0.11441035117774412
2024-01-16,32,-0.13513513513513514,-0.14518200984449783
2024-01-17,33,0.03125,0.030771658666753687
2024-01-18,31,-0.06060606060606061,-0.06252035698133393
2024-01-19,32,0.03225806451612903,0.03174869831458027
2024-01-20,33,0.03125,0.030771658666753687
2024-01-21,34,0.030303030303030304,0.02985296314968113
2024-01-22,29,-0.14705882352941177,-0.1590646946296874
2024-01-23,34,0.1724137931034483,0.15906469462968728
2024-01-24,30,-0.11764705882352941,-0.12516314295400605
2024-01-25,28,-0.06666666666666667,-0.06899287148695143
2024-01-26,31,0.10714285714285714,0.10178269430994238
2024-01-27,28,-0.0967741935483871,-0.10178269430994236
2024-01-28,31,0.10714285714285714,0.10178269430994238
2024-01-29,29,-0.06451612903225806,-0.06669137449867228
2024-01-30,32,0.10344827586206896,0.09844007281325251
2024-01-31,29,-0.09375,-0.09844007281325252
2024-02-01,29,0.0,0.0
2024-02-02,28,-0.034482758620689655,-0.03509131981127006
2024-02-03,31,0.10714285714285714,0.10178269430994238
2024-02-04,26,-0.16129032258064516,-0.17589066646366416
2024-02-05,28,0.07692307692307693,0.07410797215372183
2024-02-06,30,0.07142857142857142,0.06899287148695142
2024-02-07,28,-0.06666666666666667,-0.06899287148695143
2024-02-08,32,0.14285714285714285,0.13353139262452257
2024-02-09,38,0.1875,0.17185025692665923
2024-02-10,34,-0.10526315789473684,-0.11122563511022437
2024-02-11,38,0.11764705882352941,0.1112256351102244
2024-02-12,37,-0.02631578947368421,-0.026668247082161294
2024-02-13,40,0.08108108108108109,0.07796154146971192
2024-02-14,43,0.075,0.07232066157962608
2024-02-15,39,-0.09302325581395349,-0.09763846956391606
