date,ethereum,trend_diff,trend_log_return
2024-04-25,21,-1.0,-0.0465200156348928
2024-04-26,20,-1.0,-0.048790164169432
2024-04-27,19,-1.0,-0.0512932943875505
2024-04-28,22,3.0,0.1466034741918754
2024-04-29,20,-2.0,-0.0953101798043249
2024-04-30,21,1.0,0.048790164169432
2024-05-01,22,1.0,0.0465200156348929
2024-05-02,21,-1.0,-0.0465200156348928
2024-05-03,20,-1.0,-0.048790164169432
2024-05-04,19,-1.0,-0.0512932943875505
2024-05-05,18,-1.0,-0.0540672212702758
2024-05-06,19,1.0,0.0540672212702757
2024-05-07,18,-1.0,-0.0540672212702758
2024-05-08,18,0.0,0.0
2024-05-09,19,1.0,0.0540672212702757
2024-05-10,19,0.0,0.0
2024-05-11,16,-3.0,-0.1718502569266592
2024-05-12,16,0.0,0.0
2024-05-13,18,2.0,0.1177830356563834
2024-05-14,17,-1.0,-0.0571584138399486
2024-05-15,20,3.0,0.1625189294977749
2024-05-16,20,0.0,0.0
2024-05-17,21,1.0,0.048790164169432
2024-05-18,19,-2.0,-0.1000834585569825
2024-05-19,19,0.0,0.0
2024-05-20,35,16.0,0.6109090823229731
2024-05-21,69,34.0,0.6787584431078457
2024-05-22,52,-17.0,-0.282862786015832
2024-05-23,100,48.0,0.653926467406664
2024-05-24,62,-38.0,-0.4780358009429998
2024-05-25,30,-32.0,-0.7259370033829361
2024-05-26,31,1.0,0.0327898228229909
2024-05-27,41,10.0,0.2795848622191615
2024-05-28,32,-9.0,-0.2478361639045812
2024-05-29,28,-4.0,-0.1335313926245226
2024-05-30,25,-3.0,-0.1133286853070031
2024-05-31,25,0.0,0.0
2024-06-01,22,-3.0,-0.1278333715098848
2024-06-02,23,1.0,0.0444517625708337
2024-06-03,26,3.0,0.1226023220923322
2024-06-04,24,-2.0,-0.0800427076735363
2024-06-05,26,2.0,0.0800427076735363
2024-06-06,29,3.0,0.109199291964992
2024-06-07,32,3.0,0.0984400728132525
2024-06-08,23,-9.0,-0.3302416868705768
2024-06-09,20,-3.0,-0.1397619423751587
2024-06-10,21,1.0,0.048790164169432
2024-06-11,21,0.0,0.0
2024-06-12,23,2.0,0.0909717782057267
2024-06-13,22,-1.0,-0.0444517625708338
2024-06-14,21,-1.0,-0.0465200156348928
2024-06-15,19,-2.0,-0.1000834585569825
2024-06-16,19,0.0,0.0
2024-06-17,20,1.0,0.0512932943875504
2024-06-18,23,3.0,0.1397619423751586
2024-06-19,21,-2.0,-0.0909717782057267
2024-06-20,21,0.0,0.0
2024-06-21,18,-3.0,-0.1541506798272583
2024-06-22,17,-1.0,-0.0571584138399486
2024-06-23,17,0.0,0.0
2024-06-24,22,5.0,0.2578291093020998
2024-06-25,19,-3.0,-0.1466034741918754
2024-06-26,19,0.0,0.0
2024-06-27,19,0.0,0.0
2024-06-28,17,-2.0,-0.1112256351102243
