date,open,high,low,close,volumefrom,volumeto,supply,market_cap,price_log_return,volumefrom_log_return,market_cap_log_return,volatility_5d,volatility_10d,volatility_30d,volatility_5d_log_return,volatility_10d_log_return,volatility_30d_log_return
2019-08-29,9722.83,9724.52,9344.69,9492.81,42711.51,406305621.25,17904433.5449724,169963385800.04944,-0.0239420584074723,-0.1403133878732533,-0.0238268568402897,0.0253084995243955,0.0278271756472192,0.0360055239785038,-0.005996647190481,-0.2348989736435185,0.0066962125340074
2019-08-30,9492.81,9699.85,9368.27,9587.25,28941.49,276606372.89,17906433.5449724,171673455004.03665,0.0098994207824489,-0.3891922332355312,0.0100111187202316,0.0270345838805616,0.0288379788402954,0.0347866016506743,0.0659766419409969,0.0356801436592047,-0.0344400679251939
2019-08-31,9587.25,9714.11,9512.03,9624.54,15427.47,148320616.41,17908508.5449724,172361156831.42868,0.0038819960898679,-0.6291265190790359,0.0039978695148262,0.0223530401469752,0.0232123841526417,0.0342464541556096,-0.1901545945546461,-0.2170072922056297,-0.0156492715615016
2019-09-01,9624.54,9823.53,9578.66,9768.36,15485.86,149995549.7,17910296.0449724,174954219473.8666,0.0148325043421565,0.0037776628683491,0.0149323122515464,0.0257069780431115,0.0240633385151759,0.0343007813855461,0.1398001379514784,0.036003522890056,0.0015851037866846
2019-09-02,9768.36,10459.0,9764.76,10387.5,42504.5,429220162.8,17912158.5449724,186062546885.9008,0.0614545690154381,1.0096826031781132,0.0615585540730226,0.030856185875268,0.030202019181197,0.0358554998192685,0.1825747706126995,0.2272193236255273,0.0443288324211082
2019-09-03,10387.5,10773.27,10296.3,10625.1,52101.71,550564712.84,17914208.5449724,190340257211.18628,0.0226159663493295,0.203587817039657,0.0227304072021847,0.0228126075142962,0.0295718493983079,0.0360089578959935,-0.3020239005593719,-0.0210859074808584,0.0042707706939815
2019-09-04,10625.1,10827.14,10392.88,10585.2,41229.09,436210232.43,17915908.5449724,189643475130.24188,-0.0037623274603114,-0.2340536945498954,-0.0036674352221974,0.0253785087236689,0.0296460240121512,0.0331947129330105,0.1065893583402052,0.0025051440844862,-0.0813771237119469
2019-09-05,10585.2,10659.6,10475.88,10556.16,23957.29,253210793.56,17917971.0449724,189144969226.09583,-0.0027472232878404,-0.5428714134928494,-0.0026321087634922,0.02656379187524,0.0290469240164262,0.0328393590098566,0.0456463781778677,-0.0204154271996276,-0.0107628484208061
2019-09-06,10556.16,10938.39,10228.17,10309.91,54409.77,577987384.8,17919946.0449724,184753030928.5214,-0.0236040071809197,0.8202710716496914,-0.0234937887216802,0.0327289107773876,0.0294893645985771,0.031861868268352,0.2087097281254068,0.015117084405623,-0.0302178231160943
2019-09-07,10309.91,10574.99,10304.22,10491.96,18864.32,197436363.34,17921821.0449724,188035029531.0086,0.0175036809670184,-1.0592714261452254,0.0176083075049346,0.0185518726484196,0.0247207830369353,0.032111976840574,-0.5676880735750599,-0.1763853679206978,0.0078191281475193
